source,word,ld,nm,freq,cd,measure
scope,moment,554.371,599.429,3.979548375,3.642662331,m
scope,monarch,620.758,690.222,1.633468456,1.505149978,m
scope,monkey,612.206,549.5,3.23299611,2.893761762,m
scope,monster,610.576,602.5,3.297322714,2.975891136,m
scope,mood,605.967,591.32,3.239799818,3.110252917,m
scope,morsel,751.094,603.826,1.51851394,1.491361694,m
scope,moth,679.4,590.536,2.068185862,1.84509804,m
scope,mother,566.206,565.607,4.388758188,3.744840397,m
scope,mug,664.206,587.429,2.544068044,2.416640507,m
scope,mural,608.571,664.167,1.72427587,1.544068044,m
scope,myth,610.312,581.731,2.547774705,2.399673721,m
scope,necklace,731.133,604.296,2.697229343,2.447158031,m
scope,nectar,691.152,628.538,1.681241237,1.591064607,m
scope,needle,576.364,617.714,2.784617293,2.636487896,m
scope,neglect,721.515,618.538,1.939519253,1.903089987,m
scope,neutral,769.118,634.84,2.334453751,2.238046103,m
scope,notion,672.938,635.593,2.527629901,2.46686762,m
scope,nuisance,816.645,752.957,2.217483944,2.155336037,m
scope,nurture,790.759,664.88,1.579783597,1.568201724,m
scope,office,598.679,657.036,4.017033339,3.599446376,m
scope,ordeal,721.333,616.321,2.086359831,2.064457989,m
scope,outrage,651.188,587.63,2.206825876,2.161368002,m
scope,packet,625.933,587.231,2.11058971,1.986771734,m
scope,palace,747.867,636.926,2.991226076,2.64246452,m
scope,pamphlet,708.719,776.111,1.785329835,1.633468456,m
scope,panther,718.656,720.444,2.120573931,1.672097858,m
scope,parade,643.382,622.963,2.818225894,2.625312451,m
scope,parrot,696.939,611.429,2.225309282,1.982271233,m
scope,passage,721.647,637.179,2.592176757,2.465382851,m
scope,passion,589.545,583.107,3.003891166,2.860338007,m
scope,pause,581.531,596.259,2.440909082,2.31386722,m
scope,pelvis,712.312,683,2.017033339,1.886490725,m
scope,pension,677.969,696.538,2.394451681,2.290034611,m
scope,people,540.853,573.6,4.750145689,3.897077003,m
scope,person,614.606,547.107,4.035749837,3.67329744,m
scope,pest,658.912,608.111,2.167317335,2.053078443,m
scope,phantom,730.31,732.778,2.320146286,2.079181246,m
scope,phase,617,611.304,2.799340549,2.612783857,m
scope,pheasant,823.789,851.542,1.62324929,1.491361694,m
scope,picket,771.8,614.517,2.056904851,1.939519253,m
scope,picture,541.515,591.214,3.848927713,3.502290528,m
scope,piece,620.091,615.296,3.802773725,3.545430829,m
scope,pillow,601.265,589.926,2.764922985,2.657055853,m
scope,pint,648.97,585.625,2.225309282,2.089905111,m
scope,pity,633.312,609.556,3.079181246,2.922206277,m
scope,plasma,696.471,642.536,2.40654018,2.181843588,m
scope,plea,664.129,606.154,2.544068044,2.334453751,m
scope,pleasure,598.353,630.741,3.614791792,3.405858399,m
scope,police,564.917,607.917,4.080806804,3.527629901,m
scope,portrait,718.933,679.346,2.444044796,2.285557309,m
scope,power,604.412,565,3.880870733,3.474361976,m
scope,prestige,690.531,752.808,1.851258349,1.716003344,m
scope,pride,581.114,574.25,3.149834697,2.971739591,m
scope,prince,618.235,627.269,3.361727836,2.838849091,m
scope,princess,674.939,651.417,3.305351369,2.830588669,m
scope,prison,609.03,615.643,3.527501011,3.184123354,m
scope,product,576.281,659.857,2.876794976,2.653212514,m
scope,progress,641.853,636.28,3.035429738,2.921686475,m
scope,project,610.364,595.889,3.28057837,2.992995098,m
scope,pumpkin,628.545,573.308,2.743509765,2.440909082,m
scope,punch,655.969,580.96,3.180412633,2.974971994,m
scope,pupil,626.97,664.036,2.206825876,2.068185862,m
scope,puzzle,691.355,573.103,2.574031268,2.396199347,m
scope,python,769,733.407,1.903089987,1.62324929,m
scope,rain,551.839,584,3.39707055,3.160468531,m
scope,rattle,660.147,569.962,2.238046103,2.155336037,m
scope,reason,579.242,592.63,3.993832867,3.683857205,m
scope,recall,695.194,599.393,3.001733713,2.896526217,m
scope,reject,625.897,648.704,2.336459734,2.260071388,m
scope,report,663.971,602.038,3.741072772,3.418632687,m
scope,reptile,653.452,628.893,1.86332286,1.73239376,m
scope,resort,632.353,634.222,2.547774705,2.423245874,m
scope,respect,595.781,632.929,3.561697533,3.355259906,m
scope,risk,583.353,577.75,3.398287305,3.230704314,m
scope,role,630.606,582.857,2.968482949,2.815577748,m
scope,romance,600.265,591.115,2.899273187,2.757396029,m
scope,rubble,726.655,581.464,1.954242509,1.86923172,m
scope,ruffle,776.84,580.429,1.477121255,1.397940009,m
scope,saloon,756.812,676.308,2.419955748,2.158362492,m
scope,sandwich,624.212,668.321,3.048830087,2.874481818,m
scope,scalpel,803.208,817.545,2.209515015,2.079181246,m
scope,script,610.176,668.667,3.000434077,2.607455023,m
scope,seed,581.059,659.444,2.587710965,2.445604203,m
scope,sentence,692.5,662.429,3.020361283,2.850646235,m
scope,service,619.091,657.107,3.610340711,3.381656483,m
scope,settle,718.781,654.679,3.331224781,3.183839037,m
scope,shaft,623.03,638.963,2.595496222,2.311753861,m
scope,shame,654.484,629.464,3.326540669,3.181843588,m
scope,shark,614.719,616.929,2.883661435,2.413299764,m
scope,shirt,594.529,646.704,3.37401474,3.146438135,m
scope,shrug,695.393,681.148,1.322219295,1.255272505,m
scope,signal,598.969,674.519,3.284881715,3.010723865,m
scope,sin,585.5,637.885,2.910624405,2.694605199,m
scope,sister,584.875,596.679,3.964165311,3.483872454,m
scope,slave,608.25,650.111,2.973589623,2.698100546,m
scope,sleep,553.629,638.333,4.065430319,3.668572269,m
scope,slope,621.094,688.846,2.178976947,2.08278537,m
scope,slum,719.531,660.286,1.819543936,1.716003344,m
scope,smear,684.206,685.208,2.049218023,1.959041392,m
scope,smell,623.97,675.56,3.627468272,3.379668034,m
scope,snail,612.033,730.107,1.959041392,1.740362689,m
scope,snort,593.103,712.111,1.77815125,1.748188027,m
scope,soldier,704.531,614,3.297979244,2.919601024,m
scope,sorrow,682.969,651.571,2.545307116,2.387389826,m
scope,sparkle,630.531,689.071,1.934498451,1.826074803,m
scope,spinach,633.531,713,2.117271296,1.959041392,m
scope,spirit,667.471,766.615,3.401055726,3.166430114,m
scope,spit,590.688,729.24,2.994756945,2.870988814,m
scope,spring,641.857,655.846,3.203576775,3.011993115,m
scope,squash,600.515,658.538,2.350248018,2.212187604,m
scope,squeeze,605.353,645.958,2.886490725,2.783903579,m
scope,stab,627.029,673.926,2.651278014,2.506505032,m
scope,status,696.424,683.741,2.875639937,2.720985744,m
scope,stock,592.765,659.556,3.114277297,2.889861721,m
scope,stomach,584.1,667.926,3.237040791,3.086359831,m
scope,stove,664.853,693.929,2.588831726,2.451786436,m
scope,strand,695.091,732.536,1.977723605,1.812913357,m
scope,stretch,605.706,710.926,2.874481818,2.747411808,m
scope,stride,636.062,697.75,2.033423755,1.838849091,m
scope,string,619.647,758.259,2.810904281,2.704150517,m
scope,suburb,744.969,677.321,1.491361694,1.477121255,m
scope,success,591.5,712.741,3.14332713,3.000867722,m
scope,surgeon,638.647,647.292,2.923761961,2.699837726,m
scope,sweater,659.667,660.038,2.848189117,2.669316881,m
scope,sword,571.182,679.667,3.125806458,2.665580991,m
scope,table,664.735,600.321,3.731427587,3.460897843,m
scope,taboo,739.697,665.074,1.799340549,1.672097858,m
scope,talent,604.412,619.964,3.124830149,2.946452265,m
scope,terror,571.486,650.185,2.662757832,2.505149978,m
scope,texture,602.857,623.37,1.929418926,1.86332286,m
scope,throat,602.242,603.074,3.264345507,3.093421685,m
scope,tiger,596.242,669.087,2.975891136,2.645422269,m
scope,toast,600.882,585.75,3.232487866,3.043362278,m
scope,toilet,630.765,580.214,3.16879202,2.980003372,m
scope,tortoise,785.786,798.88,1.763427994,1.447158031,m
scope,town,603.387,587,4.101918834,3.614580867,m
scope,toxin,661.1,607.63,1.672097858,1.414973348,m
scope,traffic,584.355,582.714,3.162862993,2.996949248,m
scope,transit,765.194,715.462,2.212187604,2.033423755,m
scope,treason,743.667,741.038,2.414973348,2.220108088,m
scope,treasure,688.706,643.893,2.98811284,2.629409599,m
scope,trend,661.457,653.077,2.029383778,1.903089987,m
scope,triumph,668.324,643.464,2.376576957,2.290034611,m
scope,troll,681.2,601.704,2.1430148,1.740362689,m
scope,trouble,656.606,595.214,4.056981037,3.679972694,m
scope,trousers,682.355,640.31,2.421603927,2.269512944,m
scope,trumpet,676.242,633.185,2.324282455,2,m
scope,trust,635.588,601.64,3.958468318,3.627673032,m
scope,tulip,677.781,647.24,1.612783857,1.431363764,m
scope,tumble,685.853,628.962,1.903089987,1.812913357,m
scope,typhoon,757.484,678.615,1.880813592,1.544068044,m
scope,ulcer,697.69,643.654,2.120573931,1.939519253,m
scope,urge,601.032,550.296,2.531478917,2.488550717,m
scope,usher,643.594,600.769,2.086359831,1.84509804,m
scope,venom,780.586,672.875,2.079181246,1.812913357,m
scope,verge,714.387,655.464,2.225309282,2.167317335,m
scope,version,601.182,632.143,2.918554531,2.765668555,m
scope,victim,651.03,641.593,3.386498966,3.070776463,m
scope,virtue,644.971,622.25,2.421603927,2.315970345,m
scope,vowel,641.452,626,1.568201724,1.397940009,m
scope,vulture,749.613,648.846,1.959041392,1.812913357,m
scope,waitress,599.933,610.821,2.770115295,2.600972896,m
scope,wallet,665.941,560.464,3.06595298,2.838849091,m
scope,walnut,637.031,583.385,2.004321374,1.770852012,m
scope,walrus,798.483,634.448,1.763427994,1.612783857,m
scope,whimper,785.594,633.259,1.579783597,1.544068044,m
scope,whisper,608.647,598,2.606381365,2.478566496,m
scope,whore,605.767,658.84,3.032215703,2.790285164,m
scope,wisdom,645.057,599.077,2.752816431,2.652246341,m
scope,wish,707.088,528.333,4.07889162,3.696268997,m
scope,wit,653.185,555.286,2.481442629,2.357934847,m
scope,wood,595.424,580.074,3.139249218,2.877946952,m
scope,wrath,705.656,572.593,2.301029996,2.173186268,m
scope,wrestle,731.344,608.63,2.247973266,2.11058971,m
scope,yeast,628.091,621.577,1.653212514,1.591064607,m
scope,zebra,626.676,643,2.11058971,1.770852012,m
gpt35,affair,350,366,6.53876,5.84715,m
gpt35,aisle,360,327,2.48685,5.25091,m
gpt35,anchor,314,395,5.11873,5.83884,m
gpt35,anger,314,318,5.46412,6.33578,m
gpt35,ant,269,257.2,4.71218,5.59677,m
gpt35,applause,400,453.8,6.85175,5.78351,m
gpt35,apple,202,313.6,5.98227,6.60313,m
gpt35,apron,340.2,387,5.52091,5.24361,m
gpt35,arson,336,386,3.09603,4.58329,m
gpt35,art,183,236,5.49057,6.62561,m
gpt35,artist,358,386,4.48045,6.33087,m
gpt35,aspect,326,336.6,6.70033,5.99152,m
gpt35,asthma,332,395.2,5.15244,5.02566,m
gpt35,attempt,329,418.4,6.67793,6.00882,m
gpt35,author,313,348,5.93336,5.5818,m
gpt35,baby,263,311,6.42395,6.7206,m
gpt35,balloon,347,406,5.38878,5.16157,m
gpt35,ban,277,332,6.14893,5.05871,m
gpt35,bandage,319,384,5.93559,5.15485,m
gpt35,basket,352.2,390,6.63431,6.16111,m
gpt35,battle,354,370,4.58683,6.26756,m
gpt35,bead,306,307,3.84267,4.76457,m
gpt35,beer,273.2,302,5.37649,6.26473,m
gpt35,beggar,356,408,4.57358,4.55949,m
gpt35,belief,353,310,4.89905,5.79211,m
gpt35,bitch,354,368,4.8138,5.52259,m
gpt35,blame,333,313,4.45557,5.96377,m
gpt35,bliss,290,342,6.09585,5.69798,m
gpt35,blister,253,365,4.89399,4.60616,m
gpt35,blood,296,347,5.90286,6.40759,m
gpt35,blouse,380,372,5.51474,5.42049,m
gpt35,boast,312,304,4.90339,5.32717,m
gpt35,bondage,402,418,2.91256,4.8127,m
gpt35,bonnet,390,350,5.86087,4.4409,m
gpt35,bounce,330,320.2,7.0234,5.38994,m
gpt35,bowel,308.8,377,5.35518,4.90108,m
gpt35,bowl,326,342,3.72119,5.8333,m
gpt35,bracket,314.2,454,6.03119,5.32417,m
gpt35,breakfast,340,371,4.60716,6.11193,m
gpt35,breast,403,354,3.51582,5.8871,m
gpt35,bulge,346,378.4,4.68858,4.24046,m
gpt35,button,266,312,4.18537,5.58072,m
gpt35,camp,270,329.8,6.99004,6.12364,m
gpt35,cancer,335.8,422,5.32939,6.08366,m
gpt35,candle,344,397,5.82889,6.24972,m
gpt35,candy,317,278,5.07214,6.2943,m
gpt35,canoe,308,424,4.75206,4.59691,m
gpt35,carcass,352,398,5.67853,3.48753,m
gpt35,caress,343,414,4.08726,4.55509,m
gpt35,carpet,235,370,5.72658,5.55672,m
gpt35,carriage,338,368,4.58553,5.17029,m
gpt35,castle,408,403,5.83115,5.44938,m
gpt35,cattle,384,446,6.88424,5.32695,m
gpt35,caution,324.2,414,4.86223,5.85514,m
gpt35,cease,304,339,5.59236,6.07205,m
gpt35,ceiling,336.2,405,5.40486,5.9297,m
gpt35,chauffeur,415,404,5.27442,3.45638,m
gpt35,chest,323,305,5.79099,6.34933,m
gpt35,chew,227,306,6.30264,5.78279,m
gpt35,child,265,286,6.45748,6.84157,m
gpt35,chord,312,370,5.54363,5.16239,m
gpt35,circuit,344,415,6.93777,5.48918,m
gpt35,city,244,260.6,6.49332,6.80332,m
gpt35,class,320,322,4.57624,6.60256,m
gpt35,clergy,325.2,368,5.96383,6.02151,m
gpt35,cloak,313,379,5.46856,4.60645,m
gpt35,closure,341,399,5.53925,5.86928,m
gpt35,clover,352.6,416,5.10379,4.90217,m
gpt35,coffin,374,358,5.31303,4.81649,m
gpt35,column,333,344,4.08795,6.02294,m
gpt35,comb,281,290,4.79589,5.02201,m
gpt35,compass,370.2,406.4,5.13653,5.72345,m
gpt35,complex,393,380,5.45863,5.96121,m
gpt35,concept,311,394,6.64729,6.26885,m
