Word,Auditory.mean,Gustatory.mean,Haptic.mean,Interoceptive.mean,Olfactory.mean,Visual.mean,Foot_leg.mean,Hand_arm.mean,Head.mean,Mouth.mean,Torso.mean,Auditory.SD,Gustatory.SD,Haptic.SD,Interoceptive.SD,Olfactory.SD,Visual.SD,Foot_leg.SD,Hand_arm.SD,Head.SD,Mouth.SD,Torso.SD
CHAUVINISM,2.785714286,0.571428571,0.785714286,1.642857143,0.571428571,3.071428571,0.75,0.875,2.25,1.875,0.5,1.577659973,1.089409559,1.42389344,1.549547967,1.157868447,1.542439911,1.732050808,1.784189825,1.983263304,2.156385865,1.316561177
CHILI PEPPER,0.25,4.75,2.0625,2,3.5,3.75,0.052631579,1.526315789,1.578947368,3.736842105,0.894736842,0.774596669,0.577350269,1.730847577,2.065591118,1.366260102,1.183215957,0.229415734,1.611363158,1.923994383,1.820930936,1.760515608
CHRISTEN,1.578947368,0.052631579,0.842105263,0.684210526,0.263157895,2.947368421,0.684210526,2.105263158,2.842105263,2.315789474,0.736842105,1.538967528,0.229415734,1.384965218,1.376494403,0.733492806,1.778691286,1.204280863,1.760515608,1.92247404,1.916380604,1.284181766
CHRONICALLY,0.944444444,0.166666667,0.944444444,2.444444444,0.166666667,2.166666667,0.95,1.15,2.5,1.05,0.85,1.625973816,0.707106781,1.392087819,2.175322078,0.707106781,2.093407018,1.761428846,1.814415956,2.115108558,1.571958216,1.531253357
CHUNK,0.25,1.125,2.5,0.8125,0.1875,3.6875,0.473684211,2.052631579,1.473684211,1.473684211,0.631578947,0.577350269,1.892969449,1.673320053,1.376892637,0.75,1.302241657,1.123902974,1.870047064,1.775400457,1.806421295,1.342076596
CIRCULAR,0.111111111,0,2.5,0.333333333,0,3.888888889,0.842105263,1.526315789,2.736842105,0.578947368,0.368421053,0.323380833,0,2.093407018,0.9701425,0,1.745208192,1.675415633,1.866917276,1.939132259,1.169795304,0.76088591
CIVILIZING,1.611111111,0,0.055555556,0.555555556,0.055555556,2.388888889,0.631578947,0.894736842,2.684210526,1.894736842,0.473684211,1.719743103,0,0.23570226,1.096637761,0.23570226,2.061949075,1.422459775,1.629408101,2.135744252,1.997073883,1.306752593
CLANK,3.5,0.5,1.35,1.15,0.65,1.6,0.315789474,0.947368421,2.368421053,0.210526316,0.263157895,1.638356044,1,1.78517285,1.814415956,1.182103388,1.759186415,0.945905303,1.580213917,2.113725682,0.713282504,0.653376296
CLEANING LADY,2,0.260869565,0.565217391,0.434782609,0.782608696,3.608695652,1.333333333,1.833333333,2.5,1.555555556,1.055555556,1.809068067,0.915393175,1.440520328,0.992063367,1.312752893,1.802501556,1.748949264,2.148871113,2.093407018,2.092626332,1.661757476
CLOAKED,0.444444444,0.194444444,1,0.944444444,0.333333333,3.527777778,1.03030303,1.939393939,2.363636364,0.636363636,2.03030303,1.080857978,0.749073502,1.373213125,1.689369188,1.095445115,1.698505412,1.74077656,1.951592202,1.965613483,0.994301948,2.007561464
COACHWORK,2,0.307692308,0.384615385,0.461538462,0,3.384615385,1.466666667,1.733333333,2.466666667,2.133333333,1,2.160246899,1.109400392,0.767947648,0.776250026,0,1.709700829,1.767430203,1.907379154,2.199567057,2.356349073,1.414213562
COASTWARD,0.266666667,0.266666667,0.266666667,0.2,0.333333333,3.066666667,1.2,1.066666667,2.266666667,1.2,0.866666667,0.798808637,1.032795559,0.798808637,0.774596669,1.046536237,1.830950833,1.567527626,1.387014608,2.051712409,1.698739028,1.245945806
COHERE,2.545454545,0.636363636,1,0.727272727,0.636363636,2.727272727,0.8,1.733333333,2.733333333,1.133333333,0.866666667,2.296241989,1.566698904,1.843908891,1.678744119,1.566698904,2.004540301,1.207121724,1.830950833,2.086236073,1.726543478,1.35576371
COMPLETE,1.631578947,0.631578947,1.684210526,2.315789474,0.684210526,3.631578947,1,2.142857143,2.666666667,1.333333333,1,1.801558779,1.342076596,1.765491168,1.916380604,1.454977342,1.535162905,1.483239697,1.956673562,2.287647992,1.460593487,1.414213562
COMPREHENDINGLY,2.888888889,0.333333333,0.333333333,1.666666667,0.111111111,1.444444444,0.4,0.6,4.15,1.2,0.55,1.906301898,0.9701425,0.685994341,1.970368732,0.323380833,1.756407504,1.273205652,1.391704748,1.268027893,1.880649384,1.394538218
COMPREHENSIBLY,2.19047619,0.80952381,0.904761905,1.666666667,0.904761905,2.333333333,0.1875,0.4375,2.5,1,0.1875,1.631534481,1.400680107,1.261140829,1.957890021,1.48002574,1.852925615,0.543905629,1.31497782,2,1.673320053,0.543905629
CONSUMERISM,0.944444444,0.5,1.222222222,0.666666667,0.277777778,2.388888889,0.421052632,1.421052632,2.263157895,1.157894737,0.526315789,1.161754364,1.098126747,1.555088632,1.371988681,0.669113158,1.753614381,0.768533197,1.742150315,2.130260945,1.42451387,0.841191024
CONVICTABLE,1.631578947,0.052631579,0.526315789,0.894736842,0.157894737,2.105263158,0.666666667,0.777777778,1.833333333,1.222222222,0.722222222,1.706540566,0.229415734,1.073334423,1.629408101,0.501459857,1.852767805,1.45521375,1.437135859,2.093407018,2.016273661,1.487420015
CORDIAL,3.444444444,0.055555556,0.333333333,1.722222222,0.277777778,3.055555556,1.25,1.8,2.65,3,1,1.652884189,0.23570226,0.9701425,2.023554111,0.95828005,1.984416412,1.970172314,1.989445837,2.058998223,2.102629932,1.716790151
